type,k,risk_mean,risk_lo,risk_hi,flip_mean,flip_lo,flip_hi
BOE,9,0.16323867828593402,0.1578896266689642,0.18034862130738638,0.040310077519379844,0.024806201550387597,0.04961240310077519
BOE,10,0.16430861551203577,0.1579420094236639,0.18050892981833344,0.040310077519379844,0.024806201550387597,0.04961240310077519
NFP,-10,0.17422937184042972,0.15881141288844414,0.17977623713668445,0.03280839895013123,0.026246719160104987,0.048556430446194225
NFP,-9,0.16926237124247712,0.15912830208249756,0.17950509237711298,0.04461942257217848,0.026246719160104987,0.048556430446194225
NFP,-8,0.17411918916736624,0.15911249286405352,0.1788805277763172,0.027559055118110236,0.026246719160104987,0.048556430446194225
NFP,-7,0.15965936121384297,0.15943652522033513,0.17958808891290687,0.04199475065616798,0.026246719160104987,0.048556430446194225
NFP,-6,0.16240329316941612,0.16008736619625982,0.18018447349569183,0.030183727034120734,0.026246719160104987,0.047244094488188976
NFP,-5,0.170699707420021,0.15980803425155687,0.1794361521748354,0.030183727034120734,0.026246719160104987,0.048556430446194225
NFP,-4,0.16987481964698148,0.15895952111480455,0.1794566889732554,0.03674540682414698,0.026246719160104987,0.048556430446194225
NFP,-3,0.16278580628261924,0.15922217585634885,0.18066245318636026,0.03280839895013123,0.027559055118110236,0.047244094488188976
NFP,-2,0.15947832999233683,0.1597246388189313,0.1807988205874696,0.027559055118110236,0.026246719160104987,0.048556430446194225
NFP,-1,0.162990043916133,0.15993320255093954,0.1799495698009331,0.026246719160104987,0.026246719160104987,0.048556430446194225
NFP,0,0.16878816538948543,0.15987713586183733,0.17969420230665148,0.04068241469816273,0.026246719160104987,0.047244094488188976
NFP,1,0.1803956629554367,0.15878578295271442,0.17896248884643087,0.04461942257217848,0.026246719160104987,0.048556430446194225
NFP,2,0.17002133648219647,0.15920555628710006,0.1797647390746116,0.03937007874015748,0.026246719160104987,0.048556430446194225
NFP,3,0.17287188176205293,0.1585629261581209,0.17921364464590492,0.028871391076115485,0.026246719160104987,0.048556430446194225
NFP,4,0.17618295858735286,0.15830285345796563,0.17883634254279382,0.047244094488188976,0.024934383202099737,0.048556430446194225
NFP,5,0.1722846331513762,0.15836213578141162,0.17943512110425497,0.05511811023622047,0.026246719160104987,0.047244094488188976
NFP,6,0.17064827515259534,0.15864695332646628,0.179414373726506,0.04461942257217848,0.026246719160104987,0.048556430446194225
NFP,7,0.1690845436979473,0.1589241098083122,0.17979268451424502,0.01968503937007874,0.027559055118110236,0.04862204724409443
NFP,8,0.16519323410949993,0.15877959770308808,0.18047859230453564,0.04330708661417323,0.026246719160104987,0.04730971128608918
